Aktion_0,Aktion_1,Aktion_2,Aktion_3,Aktion_4,Aktion_5,Aktion_6,Aktion_7,Aktion_8,Aktion_9,Aktion_10,Aktion_11,Aktion_12,Aktion_13,Aktion_14,Aktion_15,Aktion_16,Aktion_17,Name
28,174,3,24,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
30,277,7,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
30,200,3,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
33,138,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
35,161,11,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
28,287,5,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
36,286,18,31,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
27,239,4,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
29,243,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
17,208,5,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
44,380,7,44,16,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
33,124,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_177
52,180,7,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
40,44,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
75,163,6,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
64,67,6,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
61,312,13,38,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
53,196,5,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
52,299,13,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
77,177,9,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
97,280,6,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
68,185,4,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
52,95,7,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
126,173,6,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
77,226,7,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
56,168,12,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
68,157,6,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
144,267,7,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
64,157,6,25,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
73,211,8,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
69,197,8,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
89,227,8,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
67,262,5,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
67,272,5,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
